AZ,FLAGSTAFF PULLIAM AIRPORT,KFLG
AZ,LUKE AIRFORCE BASE,KLUF
AZ,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT,KPHX
AZ,KINGMAN AIRPORT,KIGM
AZ,TUSCON INTERNATIONAL AIRPORT,KTUS
AZ,PRESCOTT REGIONAL AIRPORT,KPRC
CA,BAKERSFIELD MEADOWS FIELD,KBFL
CA,BLYTHE ASOS,KBLH
CA,BURBANK-GLENDALE-PASADENA AIRPORT,KBUR
CA,LOS ANGELES DOWNTOWN USC CAMPUS,KCQT
CA,NEEDLES AIRPORT,KEED
CA,FRESNO YOSEMITE INTERNATIONAL AIRPORT,KFAT
CA,IMPERIAL COUNTY AIRPORT,KIPL
CA,LOS ANGELES INTERNATIONAL AIRPORT,KLAX
CA,LONG BEACH DAUGHERTY FIELD,KLGB
CA,MERCED MUNICIPAL AIRPORT,KMCE
CA,MODESTO CITY-COUNTY AIRPORT,KMOD
CA,SAN DIEGO MIRAMAR WSCMO,KNKX
CA,OAKLAND METRO INTERNATIONAL AIRPORT,KOAK
CA,OXNARD VENTURA COUNTY AIRPORT,KOXR
CA,PALM SPRINGS REGIONAL AIRPORT,KPSP
CA,RIVERSIDE MUNICIPAL AIRPORT,KRAL
CA,RED BLUFF MUNICIPAL AIRPORT,KRBL
CA,SACRAMENTO EXECUTIVE AIRPORT,KSAC
CA,SAN DIEGO LINDBERGH FIELD,KSAN
CA,SANTA BARBARA MUNICIPAL AIRPORT,KSBA
CA,SAN LUIS OBISPO AIRPORT,KSBP
CA,GILLESPIE FIELD,KSEE
CA,SAN FRANCISCO INTERNATIONAL AIRPORT,KSFO
CA,SAN JOSE INTERNATIONAL AIRPORT,KSJC
CA,SANTA ANA JOHN WAYNE AIRPORT,KSNA
CA,THERMAL / PALM SPRINGS,KTRM
CA,UKIAH MUNICIPAL AIRPORT,KUKI
CA,LANCASTER WILLIAM J FOX FIELD,KWJF
CA,ARCATA EUREKA AIRPORT,KACV
CA,SACRAMENTO METROPOLITAN AIRPORT,KSMF
CA,STOCKTON AIRPORT,KSCK
CA,REDDING AIRPORT,KRDD
CO,BUCKLEY AIRFORCE BASE,KBKF
CO,DENVER / STAPLETON INTERNATIONAL AIRPORT,KDNR
CO,CRAIG-MOFFAT COUNTY AIRPORT,KCAG
CO,PUEBLO MEMORIAL AIRPORT,KPUB
CO,AKRON WASHINGTON COUNTY AIRPORT,KAKO
ID,BOISE AIR TERMINAL / GOWEN FD AIRPORT,KBOI
ID,IDAHO FALLS FANNING FIELD,KIDA
ID,JOSLIN FIELD / MAGIC VALLEY REGIONAL AIRPORT,KTWF
MO,SPRINGFIELD-BRANSON REGIONAL AIRPORT,KSGF
MO,,KMCI
MT,,KBZN
MT,,KMSO
NM,,KABQ
NM,,KSAF
NV,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT,KLAS
NV,,KLSV
NV,,KEKO
NV,,KRNO
OR,,KOTH
OR,,KLMT
OR,,KPDX
SD,,KFSD
TX,,KELP
UT,,KPUC
UT,,KBCE
UT,,KSLC
UT,,KOGD
WA,,KSEA
WA,,KGEG
WA,,KYKM
WY,,KLAR
WY,,KCYS